map,resource,listOfLatLong,tame,listOfLatLong_tame,hiddenBaseLocation,listOfLatLong_base,waterBaseLocation,listOfLatLong_waterBase,caveLocation,listOfLatLong_cave,dropLocation,listOfLatLong_drop,probableEnemyLocation,listOfLatLong_enemy,obeliskLocation,listOfLatLong_obelisk
Extinction,Resource0,[(76,73), (30,64), (54,67), (24,82), (79,78), (42,28), (74,81), (66,7), (80,45), (33,6)],Tame0,[(66,50), (10,59), (88,86), (76,69), (26,10), (42,79), (11,71), (80,3), (39,47), (10,82)],Base0,[(23,64), (65,59), (79,15), (52,48), (36,16), (20,71), (20,42), (48,17), (52,60), (54,6)],Water0,[(7,36), (28,90), (51,53), (3,1), (5,37), (15,27), (18,32), (73,80), (18,58), (48,51)],Cave0,[(10,2), (84,12), (40,12), (58,79), (74,32), (88,13), (73,43), (71,75), (53,15), (88,54)],Drop0,[(29,42), (51,14), (30,78), (61,35), (80,44), (21,52), (41,78), (66,29), (48,37), (44,2)],Enemy0,[(56,63), (45,23), (47,73), (19,22), (45,67), (8,42), (83,47), (83,45), (26,78), (22,20)],Obelisk0,[(52,22), (25,69), (80,24), (21,4), (90,51), (44,27), (66,20), (4,64), (79,73), (49,31)]
Extinction,Resource1,[(30,81), (57,1), (58,30), (7,44), (9,15), (10,76), (39,37), (18,8), (79,7), (81,6)],Tame1,[(10,72), (35,79), (66,1), (43,86), (66,36), (33,18), (39,31), (88,40), (75,48), (47,26)],Base1,[(67,57), (2,54), (84,74), (69,78), (69,3), (87,41), (7,68), (58,3), (80,14), (17,50)],Water1,[(83,78), (11,81), (56,8), (1,3), (79,68), (63,41), (4,56), (47,37), (6,2), (67,35)],Cave1,[(76,73), (27,42), (33,46), (75,22), (6,2), (5,65), (84,11), (56,36), (77,67), (33,81)],Drop1,[(60,53), (71,72), (22,64), (40,58), (13,33), (82,18), (19,68), (51,56), (4,48), (90,59)],Enemy1,[(33,25), (80,35), (13,46), (81,88), (84,2), (14,87), (73,25), (80,75), (78,69), (34,66)],Obelisk1,[(37,16), (74,21), (2,37), (71,27), (71,8), (70,27), (57,24), (63,4), (22,63), (89,4)]
Extinction,Resource2,[(87,39), (29,18), (23,51), (82,33), (46,36), (43,76), (40,84), (16,75), (34,18), (53,30)],Tame2,[(35,19), (41,86), (5,17), (23,48), (30,29), (30,66), (59,7), (18,69), (44,59), (39,57)],Base2,[(66,42), (33,76), (39,73), (64,47), (36,51), (87,36), (36,75), (10,40), (2,4), (86,28)],Water2,[(81,24), (81,40), (90,74), (89,14), (73,60), (28,83), (63,90), (81,70), (67,60), (23,47)],Cave2,[(78,41), (1,45), (11,14), (31,23), (65,34), (25,78), (7,42), (78,29), (68,18), (68,58)],Drop2,[(22,49), (53,88), (23,11), (29,1), (35,46), (68,57), (36,40), (3,53), (43,66), (87,11)],Enemy2,[(64,30), (50,23), (7,63), (9,80), (4,25), (47,85), (12,61), (73,2), (20,76), (10,55)],Obelisk2,[(12,86), (18,68), (4,4), (12,36), (56,18), (83,44), (21,10), (80,58), (8,73), (23,11)]
Extinction,Resource3,[(85,68), (88,50), (68,32), (42,58), (40,76), (83,16), (67,56), (15,66), (53,70), (80,45)],Tame3,[(68,66), (57,9), (47,9), (74,11), (38,50), (75,9), (52,26), (66,39), (75,49), (9,59)],Base3,[(30,21), (20,6), (48,38), (80,77), (69,14), (75,77), (8,72), (23,8), (80,56), (51,23)],Water3,[(39,3), (81,78), (82,63), (37,20), (34,66), (56,26), (75,71), (66,54), (43,55), (27,78)],Cave3,[(47,14), (73,73), (52,66), (86,88), (65,23), (83,85), (69,15), (58,63), (45,17), (8,67)],Drop3,[(46,7), (89,89), (80,8), (12,46), (31,80), (67,80), (90,26), (90,3), (15,60), (40,78)],Enemy3,[(49,17), (14,60), (18,55), (3,16), (4,32), (31,12), (31,4), (38,5), (33,83), (57,78)],Obelisk3,[(8,24), (88,70), (17,85), (51,18), (31,6), (6,41), (22,68), (51,73), (37,55), (46,90)]
Extinction,Resource4,[(48,9), (26,53), (14,89), (45,9), (9,62), (89,75), (29,73), (71,76), (80,70), (74,41)],Tame4,[(50,38), (54,76), (70,75), (72,9), (21,8), (4,9), (21,36), (35,38), (39,70), (63,28)],Base4,[(80,74), (87,48), (24,6), (10,8), (13,10), (81,85), (12,23), (11,47), (63,56), (45,39)],Water4,[(63,6), (31,61), (3,53), (76,87), (3,4), (23,42), (18,72), (71,13), (34,14), (75,25)],Cave4,[(85,72), (68,32), (89,52), (72,83), (8,35), (82,52), (67,89), (83,13), (68,32), (80,19)],Drop4,[(83,14), (87,55), (84,1), (58,76), (32,44), (43,62), (46,22), (45,83), (76,12), (2,22)],Enemy4,[(60,49), (42,77), (13,64), (85,7), (65,11), (22,17), (58,10), (18,48), (33,51), (63,15)],Obelisk4,[(67,63), (79,68), (80,88), (85,82), (78,57), (53,63), (50,31), (12,33), (10,33), (85,10)]
Extinction,Resource5,[(38,65), (30,58), (34,22), (88,33), (77,56), (49,4), (69,16), (20,82), (67,9), (32,46)],Tame5,[(63,30), (43,58), (14,19), (53,59), (85,71), (19,9), (50,76), (34,74), (48,54), (52,60)],Base5,[(53,83), (13,19), (19,29), (69,22), (15,6), (58,12), (90,34), (20,84), (70,46), (32,8)],Water5,[(66,61), (58,15), (72,55), (75,50), (76,13), (10,69), (64,73), (14,7), (14,78), (84,89)],Cave5,[(84,40), (53,65), (2,68), (58,25), (49,43), (8,12), (90,60), (82,60), (26,36), (79,47)],Drop5,[(25,9), (10,15), (66,50), (39,82), (47,31), (90,79), (77,55), (67,61), (5,66), (77,22)],Enemy5,[(34,73), (84,12), (67,34), (7,31), (51,59), (56,36), (73,28), (60,79), (7,29), (25,83)],Obelisk5,[(1,58), (24,53), (16,62), (59,49), (11,78), (77,51), (62,20), (45,19), (52,19), (7,76)]
Extinction,Resource6,[(54,81), (6,63), (57,40), (85,50), (52,23), (8,64), (10,85), (51,73), (19,20), (51,84)],Tame6,[(69,22), (46,13), (50,63), (64,36), (58,62), (90,15), (86,36), (35,9), (53,13), (19,80)],Base6,[(71,46), (14,51), (9,37), (86,64), (15,76), (57,57), (32,85), (32,18), (64,46), (1,34)],Water6,[(59,75), (43,37), (14,24), (48,61), (39,5), (84,34), (38,88), (68,4), (49,39), (84,42)],Cave6,[(36,26), (59,88), (3,90), (39,79), (45,60), (77,54), (23,45), (31,32), (45,90), (41,69)],Drop6,[(62,2), (88,32), (7,32), (77,51), (87,74), (26,42), (41,2), (50,44), (8,51), (76,48)],Enemy6,[(64,51), (90,82), (73,28), (48,15), (14,36), (48,31), (27,68), (49,41), (58,25), (35,30)],Obelisk6,[(65,44), (14,10), (44,44), (87,43), (5,41), (41,60), (45,74), (82,26), (72,62), (80,8)]
Extinction,Resource7,[(45,48), (16,56), (45,19), (11,46), (90,51), (83,87), (5,42), (78,6), (56,38), (70,14)],Tame7,[(44,59), (13,25), (35,16), (24,11), (76,53), (60,59), (61,70), (10,31), (3,52), (73,82)],Base7,[(82,81), (69,86), (27,35), (12,40), (17,88), (86,79), (4,60), (44,5), (35,23), (45,33)],Water7,[(86,58), (79,44), (49,23), (80,78), (29,82), (74,88), (73,9), (53,25), (7,83), (54,19)],Cave7,[(40,28), (52,20), (4,7), (67,26), (88,84), (32,38), (14,6), (51,25), (28,25), (46,48)],Drop7,[(80,23), (11,64), (6,64), (90,30), (35,6), (12,13), (7,18), (63,6), (65,80), (63,15)],Enemy7,[(26,87), (14,78), (25,11), (5,14), (23,58), (29,84), (28,46), (5,41), (51,61), (38,44)],Obelisk7,[(32,59), (47,64), (4,18), (8,39), (76,90), (3,78), (35,86), (2,45), (1,25), (33,16)]
Extinction,Resource8,[(37,12), (64,89), (22,31), (63,25), (39,82), (33,77), (80,21), (53,59), (3,31), (47,7)],Tame8,[(26,15), (46,10), (11,26), (28,57), (1,5), (17,77), (19,11), (31,19), (23,21), (79,65)],Base8,[(79,24), (24,41), (4,59), (57,74), (11,74), (26,19), (72,8), (39,41), (23,65), (70,6)],Water8,[(71,44), (10,42), (87,73), (40,72), (50,89), (9,36), (33,4), (33,13), (24,47), (87,88)],Cave8,[(60,10), (83,41), (53,32), (30,47), (72,56), (19,13), (7,41), (1,42), (33,11), (54,3)],Drop8,[(14,43), (61,18), (34,6), (73,72), (15,50), (75,72), (45,68), (74,10), (84,63), (13,21)],Enemy8,[(62,66), (9,78), (72,23), (67,14), (26,4), (21,17), (42,64), (21,79), (1,71), (8,82)],Obelisk8,[(15,74), (52,65), (65,85), (39,66), (59,42), (75,59), (50,46), (59,41), (85,5), (10,45)]
Extinction,Resource9,[(31,13), (12,75), (38,48), (54,58), (29,48), (1,43), (46,71), (87,10), (74,56), (37,30)],Tame9,[(68,38), (84,45), (44,56), (6,27), (27,34), (62,35), (73,87), (45,30), (2,49), (2,57)],Base9,[(68,75), (63,82), (39,72), (70,75), (9,31), (15,19), (86,28), (43,17), (6,42), (36,58)],Water9,[(55,30), (22,10), (11,60), (11,58), (68,5), (88,57), (59,10), (80,11), (44,46), (9,63)],Cave9,[(57,1), (31,72), (64,71), (80,86), (13,31), (34,56), (26,66), (70,2), (25,29), (55,45)],Drop9,[(30,47), (52,23), (20,8), (7,19), (81,73), (78,82), (71,57), (46,35), (31,42), (38,16)],Enemy9,[(30,85), (68,58), (25,51), (56,76), (52,61), (8,50), (36,28), (22,86), (12,22), (90,78)],Obelisk9,[(27,8), (3,26), (8,16), (10,72), (36,87), (21,63), (73,35), (59,83), (4,46), (56,88)]
